page_id,source_pdf,provider,repeat,latency_s,char_count,cer,wer,error
handwritten_assignment_p001,handwritten_assignment.pdf,vision,2,1.1049,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p002,handwritten_assignment.pdf,vision,2,0.7982,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p003,handwritten_assignment.pdf,vision,2,0.5791,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p004,handwritten_assignment.pdf,vision,2,0.8673,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p005,handwritten_assignment.pdf,vision,2,0.8423,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p006,handwritten_assignment.pdf,vision,2,0.7878,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p007,handwritten_assignment.pdf,vision,2,0.7931,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
handwritten_assignment_p008,handwritten_assignment.pdf,vision,2,0.5310,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
minaz_p001,minaz.pdf,vision,2,2.2521,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
minaz_p002,minaz.pdf,vision,2,2.3813,0,,,"403 This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry. [reason: ""BILLING_DISABLED""
domain: ""googleapis.com""
metadata {
  key: ""service""
  value: ""vision.googleapis.com""
}
metadata {
  key: ""containerInfo""
  value: ""333308824934""
}
metadata {
  key: ""consumer""
  value: ""projects/333308824934""
}
metadata {
  key: ""consoleUrl""
  value: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
, locale: ""en-US""
message: ""This API method requires billing to be enabled. Please enable billing on project #333308824934 by visiting https://console.developers.google.com/billing/enable?project=333308824934 then retry. If you enabled billing for this project recently, wait a few minutes for the action to propagate to our systems and retry.""
, links {
  description: ""Google developers console billing""
  url: ""https://console.developers.google.com/billing/enable?project=333308824934""
}
]"
